,title,d23_link,summary
0,10 Things I Hate About You,a-to-z/10-things-i-hate-about-you-film/,"Bianca and Kat Stratford are sisters, but there the similarity ends. Bianca, a popular and attractive Padua High School sophomore, is unable to date until older sister Kat does so, but Kat is so ill-tempered she alienates any boy who might be remotely interested in her. So, Bianca and her hoped-for boyfriend concoct a scheme to match Kat with someone with whom she might be compatible. Directed by Gil Junger. A Touchstone film. Released on March 31, 1999. Stars Larisa Oleynik (Bianca), Julia Stiles (Kat), Joseph Gordon-Levitt (Cameron James), Heath Ledger (Patrick Verona), Andrew Keegan (Joey Donner), David Krumholtz (Michael Eckman), Susan May Pratt (Mandela), Gabrielle Union (Chastity). 97 min. Based on Shakespeare's ""The Taming of the Shrew,"" which is set in Padua, Italy. Stadium High School in Tacoma, Washington, became Padua High for the film, and the Stratford family home was found nearby. Additional photography took place in Seattle. Released on video in 1999."
1,101 Dalmatians,a-to-z/101-dalmatians-film/,"Live-action version of the Dodie Smith book and Disney's 1961 animated feature. Anita, who works as a designer for Cruella De Vil, is fired when she will not sell her boss the 15 Dalmatian puppies that have been born to Pongo and Perdy. Not willing to take no for an answer, Cruella arranges to have the puppies stolen by her hapless henchmen, Jasper and Horace, setting in motion a countrywide search. A Walt Disney picture in association with Great Oaks Entertainment. Directed by Stephen Herek. Released on November 27, 1996. Stars Glenn Close (Cruella), Jeff Daniels (Roger), Joely Richardson (Anita), Hugh Laurie and Mark Williams (Jasper and Horace), Joan Plowright (Nanny). 103 min. Filmed on seven sound stages at Shepperton Studios in England, as well as at selected locations in and around London. A major task was the finding and training of over 200 Dalmatian puppies whose welfare was of top concern to the filmmakers. Released on video in 1997."
2,101 Dalmatians II: Patch's London Adventure,a-to-z/101-dalmatians-ii-patchs-london-adventure-film/,"An animated direct-to-video sequel to One Hundred and One Dalmatians. Patch is accidentally left behind when his family moves to their new farm, and he sets out to meet his hero, canine star Thunderbolt. Thunderbolt uses Patch to help him execute real-life heroics, while Cruella De Vil seeks the puppies-dead or live-as models for a spot-fixated artist, Lars. Released on January 21, 2003. Directed by Jim Kammerud and Brian Smith. Voices include Barry Bostwick (Thunderbolt), Jason Alexander (Lightning), Martin Short (Lars), Susanne Blakeslee (Cruella), Bobby Lockwood (Patch), Samuel West (Pongo), Maurice LaMarche (Horace), Jeff Bennett (Jasper), Jodi Benson (Anita), Tim Bentinck (Roger), Kath Soucie (Perdita), Mary Macleod (Nanny), Michael Lerner (Producer). Original songs by Randy Rogel."
3,"101 Problems of Hercules, The",a-to-z/101-problems-of-hercules-the-film/,"Television show; aired on October 16, 1966. Three mismatched dogs must care for the sheep when the shepherd is injured by Indians, guarding them against the elements, man, and various predators. Stars Harold Reynolds, David Farrow, Elliott Lindsey, Kathe McDowell."
4,102 Dalmatians,a-to-z/102-dalmatians-film/,"Cruella De Vil is released from prison on good behavior swearing that she will have nothing to do with fur ever again. Everyone marvels at her miraculous transformation, but she, however, cannot keep her promise and soon is plotting another scheme with French fashion designer Jean Pierre Le Pelt to get her ultimate Dalmatian coat, as she and the dogs romp through Paris. Released on November 22, 2000. Directed by Kevin Lima. Stars Glenn Close (Cruella De Vil), Ioan Gruffudd (Kevin Shepherd), Alice Evans (Chloe Simon), Tim McInnerny (Alonso), Gerard Depardieu (Jean Pierre Le Pelt). 100 min. Filmed in England and France. Nominated for an Academy Award for Costume Design. Released on video in 2001."
5,"13th Warrior, The",a-to-z/13th-warrior-the-film/,"When an important emissary from Baghdad, Ibn Fahdlan, accompanied by his manservent, Melchisidek, is abducted by a band of Viking warriors, he is forced to join their quest to battle cannibal creatures legendary for consuming every living thing in their path. Ibn realizes he must conquer his fear and go to battle with the warriors or face being devoured as well. A Touchstone film. Directed by John McTiernan. Released on August 27, 1999. Stars Antonio Banderas (Ahmed Ibn Fahdlan), Diane Venora (Queen Weilew), Omar Sharif (Melchisidek), Vladimir Kulich (Buliwyf), Dennis Storhoi (Herger the Joyous), Sven Wollter (King Hrothgar). 103 min. Based on the novel, Eaters of the Dead, by Michael Crichton. In searching for the perfect Northern setting, the filmmakers traveled extensively before settling on the North Central coast of Vancouver Island, near Campbell River, British Columbia, at Elk Bay. Filmed in CinemaScope. Released on video in 2000."
6,1952,a-to-z/1952-film/,"Science-fiction film. Directed by Brad Bird. Stars George Clooney. Planned for release on December 19, 2014 in 3D."
7,"20,000 Leagues Under the Sea",a-to-z/20000-leagues-under-the-sea-film/,"In 1868, an armed frigate sent to seek out a fabled destroyer of ships is itself sunk, and three passengers from the frigate-a harpooner, Ned Land, along with a professor who is an expert on the creatures of the sea and his assistant-are rescued. They discover that the ""monster"" which they searched for is in reality the first man-made submarine, the Nautilus, commanded by Captain Nemo, a madman who is willing to share his secrets of nuclear energy with the world only on his own terms. Land rescues Nemo from the clutches of a giant squid and eventually manages to alert the outside world as to the location of Nemo's secret island base. Nemo and his creations are destroyed. Released on December 23, 1954. Based on the classic story by Jules Verne. Academy Award winner for Best Special Effects and Best Art Decoration/Set Decoration (John Meehan and Emile Kuri); nominated also for Best Film Editing. 127 min. The first Disney feature filmed in CinemaScope. Disney special effects wizards constructed the giant squid of rubber, steel spring, flexible tubing, glass cloth, Lucite, and plastic, with tentacles measuring 40 feet with two feelers of 50 feet. It could rear up eight feet out of water, its tentacles and feelers moving with frightening realism. It took a staff of 28 men to operate the intricate remote controls. Using hydraulics, electronics, and compressed air, they succeeded in giving a lifelike appearance to the squid. But there were problems. The squid fight had to be filmed a second time after Walt Disney and the director, Richard Fleischer, were unhappy with the initial results. It had been filmed in a special tank on brand-new soundstage 3 at the Disney Studio as if it was sunset on a placid sea; unfortunately this allowed viewers to see too much of the mechanics that enabled the squid to move, and it looked too fake. Instead, the scene was shot a second time, as if it was a stormy night, with 100 backstage workers on hand providing the needed lightning, rain, turbulent seas, and hurricane winds, and everything worked much better. The movie featured the song, ""A Whale of a Tale"" by Al Hoffman and Norman Gimbel. Director Fleischer was the son of Walt's early animation rival, Max Fleischer, who created the Out of the Inkwell and Betty Boop cartoons, and Disney made sure that Max did not object before he hired his son. Stars James Mason (Capt. Nemo), Kirk Douglas (Ned Land), Paul Lukas (Prof. Aronnax), Peter Lorre (Conseil). Locations for the film included the Disney and 20th Century-Fox lots in California, and various locales in the Bahamas and Jamaica. The Nautilus was designed by Harper Goff. Reissued in theaters in 1963 and 1971. Released on video in 1980, 1985, and 1992. A television show on the making of the film, Operation Undersea, won the Emmy for best television program of the year. The Nautilus set was displayed for a time at Disneyland."
8,25th Hour,a-to-z/25th-hour-film/,"In 24 hours, Monty Brogan, New York City high-flyer, is off to jail for seven years. On his last day, he tries to reconnect with his father and gets together with his two closest friends, Jacob and Slaughtery. Plus, there is his girlfriend, Naturelle, who might have been the one who tipped him off to the cops. Time is running out, and Monty has some tricks up his sleeve. Limited release in Los Angeles and New York on December 19, 2002; expanded release on January 10, 2003. A Touchstone film. Directed by Spike Lee. Stars Edward Norton (Monty Brogan), Philip Seymour Hoffman (Jacob Elinsky), Barry Pepper (Francis Xavier Slaughtery), Rosario Dawson (Naturelle Riviera), Anna Paquin (Mary D'Annunzio), Brian Cox (James Brogan). Filmed in Super 35 widescreen on location in the five boroughs of New York City. 135 min. Released on video in 2003."
9,3 Ninjas,a-to-z/3-ninjas-film/,"Three young boys who feel neglected by their FBI-agent father spend their summer learning the ways of the ninja from their grandfather. The old man also teaches them to rely upon themselves and each other. But when an evil arms dealer decides to kidnap the boys to keep their father from thwarting his illegal business deal, the boys dodge their kidnappers and realize that their family ties are just as important as their ninja skills. Released on August 7, 1992. Directed by Jon Turteltaub. A Touchstone Picture. 84 min. Stars Victor Wong (Grandpa), Michael Treanor (Rocky), Max Elliott Slade (Colt), Chad Power (Tum Tum). Filmed on locations in Los Angeles by an American, European, and Far Eastern crew. Released on video in 1993. Two sequels, 3 Ninjas Kick Back and 3 Ninjas Knuckle Up, were made in 1994 and 1995 by Tri-Star."
